1,1m,11,1202.8152159709898,12928
1,5m,10,1182.7817733862335,39624
1,un,11,1246.1239405728982,1300
2,1m,19,6916.35625980958,14781
2,5m,19,7199.398336417031,86588
2,un,19,7395.145135417087,1967
3,1m,36,12219.606658100107,7766
3,5m,36,12824.214794089647,41869
3,un,36,12519.365973833304,1130
4,1m,21,17373.18876645978,79
4,5m,21,16764.619640279056,326
4,un,20,16841.952827341465,1119
5,1m,80,36869.5691312051,305
5,5m,76,35041.497214980554,3620
5,un,77,34493.54023552384,1623
6,1m,20,79844.25694328836,170
6,5m,20,87557.3625569617,1457
6,un,19,89269.17684099422,2834
